stk_cd,per,roe,pbr,ev,bps,sale_amt,bus_pro,cup_nga,cap
042670,15.61,5.9,0.89,6.99,9605,41142,1842,1084,1995
048410,,-16.4,11.84,394.54,948,151,8,-69,240
052260,24.17,4.2,1.00,6.41,4600,1195,164,57,150
057050,4.14,7.4,0.29,-0.05,187110,38535,1301,1742,600
064350,33.64,21.9,6.69,26.35,18737,43766,4566,4053,5457
069960,,-0.8,0.36,4.13,198360,41876,2840,-8,1170
071970,16.87,28.3,4.55,35.62,9120,3158,332,758,848
079430,10.65,3.7,0.39,5.24,20213,18707,240,152,205
086280,7.30,13.2,0.91,3.15,116975,284074,17529,10995,375
089470,6.30,5.8,0.32,4.60,11492,9906,327,159,172
090850,12.67,12.9,1.55,2.29,4097,1311,202,119,119
126560,50.76,1.0,0.48,0.04,6683,2158,69,116,551
170030,6.66,8.7,0.55,2.03,10120,3269,109,129,77
187660,,-118.3,6.56,,224,97,-159,-203,43
227840,2.46,15.2,0.35,3.71,32988,2156,195,423,455
267250,13.04,6.4,0.72,2.91,116021,677656,29832,19302,814
267260,27.74,39.3,9.17,18.61,42085,33223,6690,4984,1802
267270,13.42,6.2,0.76,6.05,92774,34381,1904,860,940
294870,10.86,5.1,0.54,11.30,47572,42562,1846,1557,3295
307950,22.77,10.4,2.28,9.08,62191,37136,2244,1752,137
319400,17.36,16.2,2.55,14.63,1554,3414,246,269,118
322000,4573.53,0.0,1.41,27.31,33007,4224,35,1,560
329180,55.56,11.4,6.05,33.14,64259,144865,7052,6215,4439
443060,30.22,45.0,9.29,23.72,17255,17455,2717,2279,224
453340,7.97,11.4,0.87,3.28,19995,22704,967,745,169
460930,36.85,8.1,2.66,18.80,6599,2232,215,166,177
035720,300.43,0.6,1.64,9.20,22860,78717,4602,-1619,442
293490,,-8.0,0.85,16.49,16763,6272,191,-1281,83
323410,24.66,7.0,1.66,,13739,23999,6069,4401,23849
377300,,-0.7,2.23,,13824,7662,-575,-215,673
035420,15.37,7.9,1.10,9.53,166221,107377,19793,19320,165
